epoch,train_loss,train_ce,train_dice,val_loss,val_mean_iou,val_pixel_acc,val_mean_acc,val_mean_dice,val_clothes_iou,lr,epoch_time_s
1,0.5952386802406495,0.33976367015922704,0.5109500204882469,0.33990896128665254,0.6508811337701186,0.9532404452393958,0.7711215438284741,0.7724858111491002,0.9027491140849848,5.6282542885973766e-05,1041.3
2,0.32782872620386533,0.15600014977759297,0.34365715315363493,0.29736895096504085,0.6921430650516013,0.9593969485180526,0.8006895440666209,0.807350817385581,0.9101690834899835,5.226236125126135e-05,1045.8
3,0.2911182575687078,0.1424106755462217,0.29741516419084196,0.2741511635861154,0.7099656812536668,0.9618044880150401,0.822050628594688,0.8223666041622528,0.9132024122137465,4.8242179616548946e-05,1049.5
4,0.2582404351022738,0.13601724417266775,0.24444638188165355,0.25680157996840397,0.7166394950099858,0.962551897124382,0.8209066936207241,0.8274792543380299,0.9168766270650845,4.422199798183653e-05,1047.3
5,0.2378742567835802,0.12674424734927833,0.22226001934174552,0.25383101806128766,0.7238131176621788,0.9627634985972259,0.830046520432743,0.8332685873430851,0.9167377081806629,4.020181634712412e-05,1048.5
6,0.22728945069710713,0.12033803797379346,0.21390282555696477,0.25171105184797515,0.7321731659861413,0.9638457605394266,0.8407936018929243,0.8395655016739239,0.9166964881592358,3.61816347124117e-05,1050.7
7,0.21569925305025883,0.11289875302276757,0.20560099972958068,0.2515764841588877,0.7337320869796146,0.9636624524822343,0.8342120288002661,0.8409055885624871,0.9186590087895726,3.216145307769929e-05,1053.5
8,0.2054835523452505,0.10658727787494898,0.1977925491201351,0.24305740146987181,0.7419915763239676,0.9654242305432336,0.8417082270317571,0.8467157488612719,0.9203639175711337,2.814127144298688e-05,1049.8
9,0.19882494301897993,0.10235839250523701,0.19293310111725187,0.24058122857142303,0.7379614377825351,0.9651815123477224,0.8484757347550396,0.8427236636010677,0.9205543894288585,2.4121089808274473e-05,1050.5
10,0.1897085057347115,0.09680537233011326,0.18580626717293597,0.2505294695075622,0.7421331729083798,0.9651172185348252,0.8467716504698563,0.8465119847170187,0.9197179470805285,2.010090817356206e-05,1052.0
11,0.18572245817070446,0.0945515292000033,0.182341857966649,0.24621940335984957,0.7466697612985809,0.9663663142145017,0.8503127825298296,0.8496048650231601,0.9221133553274999,1.608072653884965e-05,1052.0
12,0.17924087479837747,0.09012496301971645,0.1782318233067252,0.2499273442615897,0.7482335715133147,0.9667363441596597,0.8534041749846197,0.8507683339051074,0.9221112070658731,1.2060544904137237e-05,1049.1
13,0.17472450898391714,0.08716645493708836,0.1751161079749046,0.25125981188763336,0.747510040454402,0.9667778403072034,0.8484877665934005,0.850007148012333,0.9222872431436071,8.040363269424822e-06,1050.5
14,0.1706385699691752,0.0853456415826956,0.17058585727789316,0.25274845664784057,0.7512600709345537,0.9671355985652256,0.8497230482542837,0.8528140086902977,0.9228226766406415,4.020181634712414e-06,1050.4
15,0.16768993822349063,0.08326050977832282,0.1688588568155306,0.2533788606945404,0.7519244020696797,0.9672608154641706,0.8523126944017806,0.8531741183050958,0.9231710598597964,0.0,1048.6
