step,epoch,loss,ce,dice,lr
2100,1,0.3875,0.14801,0.47898,5.818365287588295e-05
2120,1,0.40105,0.16392,0.47425,5.8163471241170535e-05
2140,1,0.37085,0.16059,0.42052,5.814328960645813e-05
2160,1,0.62359,0.37775,0.49167,5.812310797174571e-05
2180,1,0.35715,0.1107,0.49289,5.8102926337033305e-05
2200,1,0.50952,0.26362,0.4918,5.808274470232089e-05
2220,1,0.32975,0.12274,0.41402,5.8062563067608483e-05
2240,1,0.33534,0.15541,0.35985,5.804238143289606e-05
2260,1,0.37992,0.19277,0.3743,5.8022199798183655e-05
2280,1,0.33863,0.14207,0.39311,5.800201816347124e-05
2300,1,0.43291,0.20303,0.45975,5.798183652875883e-05
2320,1,0.35357,0.14666,0.41381,5.796165489404642e-05
2340,1,0.36501,0.11383,0.50236,5.794147325933401e-05
2360,1,0.31968,0.14647,0.34643,5.79212916246216e-05
2380,1,0.42511,0.23079,0.38864,5.790110998990919e-05
2400,1,0.34339,0.11981,0.44718,5.7880928355196775e-05
2420,1,0.52474,0.28379,0.48191,5.786074672048436e-05
2440,1,0.28986,0.10731,0.36511,5.7840565085771946e-05
2460,1,0.2799,0.10752,0.34477,5.782038345105954e-05
2480,1,0.37983,0.18255,0.39455,5.7800201816347124e-05
2500,1,0.54555,0.26125,0.56859,5.778002018163472e-05
2520,1,0.44689,0.24193,0.40993,5.77598385469223e-05
2540,1,0.2691,0.11644,0.30533,5.7739656912209895e-05
2560,1,0.37235,0.13821,0.46828,5.771947527749748e-05
2580,1,0.35205,0.11375,0.47661,5.7699293642785066e-05
2600,1,0.33355,0.12588,0.41534,5.767911200807265e-05
2620,1,0.42091,0.21303,0.41575,5.7658930373360244e-05
2640,1,0.6559,0.37121,0.56939,5.763874873864783e-05
2660,1,0.31249,0.11991,0.38516,5.761856710393542e-05
2680,1,0.35406,0.11809,0.47193,5.759838546922301e-05
2700,1,0.83522,0.52002,0.63039,5.75782038345106e-05
2720,1,0.34371,0.13375,0.41993,5.7558022199798186e-05
2740,1,0.3163,0.11924,0.39412,5.753784056508578e-05
2760,1,0.36183,0.15304,0.41758,5.751765893037336e-05
2780,1,0.35834,0.17681,0.36305,5.749747729566095e-05
2800,1,0.39053,0.17196,0.43713,5.7477295660948536e-05
2820,1,0.37898,0.1939,0.37015,5.745711402623613e-05
2840,1,0.2753,0.11137,0.32787,5.7436932391523714e-05
2860,1,0.38478,0.17484,0.41989,5.7416750756811306e-05
2880,1,0.37353,0.13175,0.48355,5.739656912209889e-05
2900,1,0.43126,0.21884,0.42485,5.7376387487386484e-05
2920,1,0.39416,0.14225,0.50382,5.735620585267406e-05
2940,1,0.36885,0.16319,0.4113,5.7336024217961656e-05
2960,1,0.28474,0.10369,0.3621,5.731584258324924e-05
2980,1,0.25635,0.08139,0.34993,5.7295660948536834e-05
3000,1,0.49009,0.25055,0.47908,5.727547931382442e-05
3020,1,0.33608,0.12331,0.42554,5.725529767911201e-05
3040,1,0.48245,0.26035,0.4442,5.72351160443996e-05
3060,1,0.31745,0.11628,0.40232,5.721493440968719e-05
3080,1,0.37118,0.15079,0.44078,5.7194752774974776e-05
3100,1,0.47983,0.25718,0.4453,5.717457114026236e-05
3120,1,0.49697,0.2888,0.41633,5.715438950554995e-05
3140,1,0.43329,0.24054,0.38551,5.713420787083754e-05
3160,1,0.4091,0.22272,0.37275,5.7114026236125125e-05
3180,1,0.3013,0.14517,0.31226,5.709384460141272e-05
3200,1,0.34236,0.12445,0.43581,5.70736629667003e-05
3220,1,0.4203,0.21989,0.40081,5.7053481331987896e-05
3240,1,0.5659,0.36623,0.39933,5.703329969727548e-05
3260,1,0.35246,0.14596,0.41299,5.701311806256307e-05
3280,1,0.42276,0.19604,0.45344,5.699293642785065e-05
3300,1,0.26684,0.09686,0.33997,5.6972754793138245e-05
3320,1,0.45332,0.22561,0.45542,5.695257315842583e-05
3340,1,0.25542,0.10495,0.30095,5.693239152371342e-05
3360,1,0.41632,0.22048,0.39168,5.691220988900101e-05
3380,1,0.39757,0.15546,0.48422,5.68920282542886e-05
3400,1,0.32666,0.14237,0.36859,5.687184661957619e-05
3420,1,0.3835,0.17238,0.42223,5.685166498486377e-05
3440,1,0.39602,0.18973,0.41257,5.683148335015136e-05
3460,1,0.38939,0.19008,0.39862,5.681130171543895e-05
3480,1,0.38253,0.1394,0.48627,5.6791120080726537e-05
3500,1,0.30488,0.11166,0.38644,5.677093844601413e-05
3520,1,0.50092,0.28797,0.42591,5.6750756811301715e-05
3540,1,0.29417,0.13808,0.31217,5.673057517658931e-05
3560,1,0.41977,0.17108,0.49739,5.671039354187689e-05
3580,1,0.30837,0.12663,0.36348,5.6690211907164485e-05
3600,1,0.38542,0.13996,0.49092,5.667003027245207e-05
3620,1,0.30441,0.10147,0.40588,5.6649848637739657e-05
3640,1,0.57156,0.35702,0.42908,5.662966700302724e-05
3660,1,0.33867,0.12444,0.42845,5.6609485368314835e-05
3680,1,0.35026,0.13345,0.43361,5.658930373360243e-05
3700,1,0.34325,0.15705,0.3724,5.656912209889001e-05
3720,1,0.20764,0.08591,0.24344,5.65489404641776e-05
3740,1,0.50475,0.28225,0.445,5.652875882946519e-05
3760,1,0.36594,0.1626,0.40669,5.6508577194752777e-05
3780,1,0.36954,0.17758,0.38393,5.648839556004036e-05
3800,1,0.31871,0.13666,0.3641,5.646821392532795e-05
3820,1,0.25915,0.09929,0.31972,5.644803229061554e-05
3840,1,0.30725,0.18098,0.25254,5.642785065590313e-05
3860,1,0.28579,0.08097,0.40963,5.640766902119072e-05
3880,1,0.30943,0.12541,0.36805,5.638748738647831e-05
3900,1,0.29323,0.10092,0.38462,5.6367305751765897e-05
3920,1,0.318,0.10479,0.42644,5.634712411705349e-05
3940,1,0.41767,0.23593,0.3635,5.632694248234107e-05
3960,1,0.3449,0.14825,0.3933,5.630676084762866e-05
3980,1,0.35886,0.14938,0.41897,5.6286579212916246e-05
4000,2,0.33225,0.14336,0.37779,5.626639757820384e-05
4020,2,0.58879,0.36014,0.45731,5.6246215943491424e-05
4040,2,0.35608,0.17813,0.35589,5.6226034308779017e-05
4060,2,0.31026,0.12369,0.37315,5.62058526740666e-05
4080,2,0.40027,0.19043,0.41967,5.6185671039354195e-05
4100,2,0.33685,0.17186,0.32997,5.6165489404641774e-05
4120,2,0.31988,0.16413,0.3115,5.6145307769929366e-05
4140,2,0.26034,0.10529,0.31011,5.612512613521695e-05
4160,2,0.42425,0.215,0.41851,5.6104944500504544e-05
4180,2,0.23244,0.08315,0.2986,5.608476286579213e-05
4200,2,0.2113,0.08463,0.25335,5.606458123107972e-05
4220,2,0.28571,0.11402,0.34338,5.604439959636731e-05
4240,2,0.40458,0.21295,0.38326,5.60242179616549e-05
4260,2,0.22145,0.0948,0.25332,5.600403632694248e-05
4280,2,0.38532,0.17223,0.42619,5.598385469223007e-05
4300,2,0.22449,0.09851,0.25195,5.596367305751766e-05
4320,2,0.44709,0.24868,0.39681,5.594349142280525e-05
4340,2,0.31335,0.10288,0.42093,5.5923309788092836e-05
4360,2,0.35528,0.20385,0.30286,5.590312815338043e-05
4380,2,0.30599,0.12572,0.36053,5.5882946518668014e-05
4400,2,0.35655,0.16197,0.38916,5.5862764883955606e-05
4420,2,0.45034,0.30332,0.29405,5.584258324924319e-05
4440,2,0.29858,0.10146,0.39424,5.582240161453078e-05
4460,2,0.33872,0.14988,0.37768,5.580221997981836e-05
4480,2,0.33271,0.1667,0.33204,5.5782038345105956e-05
4500,2,0.36848,0.14841,0.44016,5.576185671039354e-05
4520,2,0.3214,0.11617,0.41045,5.5741675075681134e-05
4540,2,0.31226,0.16127,0.30197,5.572149344096872e-05
4560,2,0.39886,0.20497,0.38778,5.570131180625631e-05
4580,2,0.26618,0.13506,0.26225,5.56811301715439e-05
4600,2,0.53549,0.32947,0.41204,5.566094853683148e-05
4620,2,0.30191,0.12348,0.35685,5.564076690211907e-05
4640,2,0.2331,0.0971,0.272,5.562058526740666e-05
4660,2,0.26818,0.0946,0.34717,5.560040363269425e-05
4680,2,0.26069,0.12685,0.26769,5.558022199798184e-05
4700,2,0.33138,0.13857,0.38562,5.5560040363269425e-05
4720,2,0.2818,0.12389,0.31582,5.553985872855702e-05
4740,2,0.2869,0.11481,0.34418,5.55196770938446e-05
4760,2,0.31909,0.13659,0.365,5.5499495459132196e-05
4780,2,0.29268,0.10183,0.38171,5.5479313824419775e-05
4800,2,0.50175,0.30359,0.39633,5.545913218970737e-05
4820,2,0.55278,0.27516,0.55523,5.543895055499495e-05
4840,2,0.42611,0.21776,0.41669,5.5418768920282545e-05
4860,2,0.55963,0.33426,0.45075,5.539858728557013e-05
4880,2,0.26944,0.12625,0.28638,5.537840565085772e-05
4900,2,0.28728,0.10196,0.37063,5.535822401614531e-05
4920,2,0.39095,0.20226,0.37736,5.53380423814329e-05
4940,2,0.2641,0.1005,0.32718,5.531786074672048e-05
4960,2,0.23038,0.10481,0.25114,5.529767911200807e-05
4980,2,0.34911,0.19251,0.31319,5.527749747729566e-05
5000,2,0.66575,0.44097,0.44956,5.525731584258325e-05
5020,2,0.39411,0.18666,0.41489,5.5237134207870836e-05
5040,2,0.35034,0.1791,0.34247,5.521695257315843e-05
5060,2,0.31811,0.11787,0.40047,5.5196770938446015e-05
5080,2,0.35313,0.17488,0.3565,5.517658930373361e-05
5100,2,0.30055,0.10739,0.38632,5.515640766902119e-05
5120,2,0.38655,0.18575,0.40161,5.513622603430878e-05
5140,2,0.56395,0.37997,0.36796,5.5116044399596364e-05
5160,2,0.22656,0.07273,0.30767,5.5095862764883956e-05
5180,2,0.38223,0.19433,0.37581,5.507568113017154e-05
5200,2,0.28589,0.13026,0.31126,5.5055499495459135e-05
5220,2,0.28766,0.14299,0.28935,5.503531786074672e-05
5240,2,0.27684,0.10053,0.35263,5.501513622603431e-05
5260,2,0.27295,0.12996,0.28597,5.4994954591321905e-05
5280,2,0.34185,0.19181,0.30008,5.4974772956609484e-05
5300,2,0.32704,0.12737,0.39932,5.495459132189707e-05
5320,2,0.34603,0.17967,0.33273,5.493440968718466e-05
5340,2,0.30876,0.14699,0.32355,5.4914228052472255e-05
5360,2,0.56081,0.39079,0.34004,5.489404641775984e-05
5380,2,0.3032,0.1251,0.35619,5.4873864783047426e-05
5400,2,0.33658,0.1747,0.32377,5.485368314833502e-05
5420,2,0.32751,0.15732,0.34039,5.483350151362261e-05
5440,2,0.50243,0.32302,0.35881,5.481331987891019e-05
5460,2,0.30865,0.12363,0.37004,5.4793138244197775e-05
5480,2,0.353,0.18639,0.33321,5.477295660948537e-05
5500,2,0.45557,0.2415,0.42814,5.475277497477296e-05
5520,2,0.35049,0.15706,0.38687,5.4732593340060546e-05
5540,2,0.24828,0.11517,0.2662,5.471241170534813e-05
5560,2,0.40639,0.2122,0.38839,5.4692230070635724e-05
5580,2,0.28759,0.10711,0.36097,5.4672048435923317e-05
5600,2,0.38829,0.16705,0.44249,5.46518668012109e-05
5620,2,0.28797,0.12422,0.32751,5.463168516649849e-05
5640,2,0.34307,0.15983,0.36648,5.4611503531786074e-05
5660,2,0.2697,0.10207,0.33527,5.4591321897073666e-05
5680,2,0.30077,0.16291,0.27572,5.457114026236125e-05
5700,2,0.38049,0.18905,0.38287,5.4550958627648844e-05
5720,2,0.27475,0.11517,0.31917,5.453077699293643e-05
5740,2,0.27249,0.09993,0.34512,5.451059535822402e-05
5760,2,0.28878,0.13025,0.31705,5.449041372351161e-05
5780,2,0.31767,0.15731,0.32073,5.4470232088799194e-05
5800,2,0.19256,0.09996,0.1852,5.445005045408678e-05
5820,2,0.24302,0.10661,0.27281,5.442986881937437e-05
5840,2,0.45667,0.27169,0.36995,5.440968718466196e-05
5860,2,0.3181,0.13359,0.36903,5.438950554994955e-05
5880,2,0.208,0.08764,0.24071,5.4369323915237135e-05
5900,2,0.25404,0.09304,0.322,5.434914228052473e-05
5920,2,0.31154,0.14935,0.32437,5.4328960645812314e-05
5940,2,0.28994,0.10231,0.37526,5.4308779011099906e-05
5960,2,0.2797,0.10895,0.34149,5.4288597376387485e-05
5980,2,0.38803,0.20673,0.3626,5.426841574167508e-05
6000,2,0.39002,0.2,0.38005,5.424823410696266e-05
6020,2,0.23099,0.10541,0.25117,5.4228052472250256e-05
6040,2,0.42884,0.25566,0.34638,5.420787083753784e-05
6060,2,0.21297,0.10062,0.22471,5.4187689202825434e-05
6080,2,0.22495,0.08827,0.27336,5.416750756811302e-05
6100,2,0.26977,0.11066,0.31821,5.414732593340061e-05
6120,2,0.39906,0.24787,0.30238,5.412714429868819e-05
6140,2,0.26919,0.1174,0.30358,5.410696266397578e-05
6160,2,0.27039,0.10035,0.34008,5.408678102926337e-05
6180,2,0.22131,0.08504,0.27254,5.406659939455096e-05
6200,2,0.23444,0.069,0.33088,5.404641775983855e-05
6220,2,0.29559,0.13257,0.32604,5.402623612512614e-05
6240,2,0.30775,0.14902,0.31746,5.4006054490413725e-05
6260,2,0.34134,0.15046,0.38177,5.398587285570132e-05
6280,2,0.32348,0.13175,0.38347,5.39656912209889e-05
6300,2,0.37921,0.2263,0.30582,5.394550958627649e-05
6320,2,0.30347,0.157,0.29294,5.3925327951564074e-05
6340,2,0.21146,0.08867,0.24559,5.390514631685167e-05
6360,2,0.28699,0.13705,0.29988,5.388496468213925e-05
6380,2,0.27183,0.13878,0.26609,5.3864783047426845e-05
6400,2,0.27155,0.10488,0.33335,5.384460141271443e-05
6420,2,0.38291,0.19434,0.37713,5.382441977800202e-05
6440,2,0.38508,0.20846,0.35323,5.380423814328961e-05
6460,2,0.30052,0.13043,0.34018,5.3784056508577194e-05
6480,2,0.23613,0.08173,0.30879,5.376387487386478e-05
6500,2,0.27236,0.11025,0.32421,5.374369323915237e-05
6520,2,0.33619,0.15937,0.35364,5.372351160443996e-05
6540,2,0.50488,0.29236,0.42506,5.370332996972755e-05
6560,2,0.40287,0.219,0.36773,5.3683148335015136e-05
6580,2,0.39693,0.20362,0.38663,5.366296670030273e-05
6600,2,0.31971,0.1642,0.31102,5.3642785065590314e-05
6620,2,0.43066,0.26236,0.33661,5.36226034308779e-05
6640,2,0.49222,0.28644,0.41157,5.3602421796165486e-05
6660,2,0.30255,0.11643,0.37224,5.358224016145308e-05
6680,2,0.25882,0.13871,0.24022,5.3562058526740664e-05
6700,2,0.79233,0.56634,0.45199,5.3541876892028256e-05
6720,2,0.15827,0.05768,0.20119,5.352169525731584e-05
6740,2,0.374,0.16113,0.42573,5.3501513622603435e-05
6760,2,0.25208,0.11332,0.27752,5.348133198789102e-05
6780,2,0.57033,0.38808,0.36449,5.346115035317861e-05
6800,2,0.34568,0.17813,0.33511,5.344096871846619e-05
6820,2,0.22987,0.09105,0.27764,5.3420787083753784e-05
6840,2,0.22949,0.08117,0.29663,5.340060544904137e-05
6860,2,0.34458,0.19114,0.30689,5.338042381432896e-05
6880,2,0.29049,0.14368,0.29362,5.336024217961655e-05
6900,2,0.30414,0.1374,0.33349,5.334006054490414e-05
6920,2,0.3267,0.15835,0.33671,5.331987891019173e-05
6940,2,0.27893,0.08866,0.38054,5.329969727547932e-05
6960,2,0.33235,0.15452,0.35566,5.32795156407669e-05
6980,2,0.26588,0.11877,0.29423,5.325933400605449e-05
7000,2,0.22808,0.0874,0.28136,5.323915237134208e-05
7020,2,0.23465,0.10324,0.26282,5.321897073662967e-05
7040,2,0.3512,0.18019,0.34201,5.3198789101917253e-05
7060,2,0.30456,0.12841,0.35229,5.3178607467204846e-05
7080,2,0.18922,0.08331,0.21182,5.315842583249244e-05
7100,2,0.24082,0.11062,0.26041,5.3138244197780024e-05
7120,2,0.36443,0.1955,0.33787,5.311806256306761e-05
7140,2,0.47384,0.24462,0.45845,5.3097880928355195e-05
7160,2,0.3241,0.15964,0.32892,5.307769929364279e-05
7180,2,0.39268,0.16299,0.45937,5.3057517658930373e-05
7200,2,0.40834,0.20107,0.41453,5.303733602421796e-05
7220,2,0.26598,0.12796,0.27603,5.301715438950555e-05
7240,2,0.31969,0.13206,0.37526,5.2996972754793144e-05
7260,2,0.2323,0.118,0.2286,5.297679112008073e-05
7280,2,0.38005,0.17563,0.40885,5.2956609485368315e-05
7300,2,0.21001,0.06726,0.2855,5.29364278506559e-05
7320,2,0.27526,0.10581,0.33889,5.2916246215943494e-05
7340,2,0.30881,0.10794,0.40173,5.289606458123108e-05
7360,2,0.30422,0.10296,0.40252,5.287588294651867e-05
7380,2,0.22685,0.09493,0.26384,5.285570131180626e-05
7400,2,0.40086,0.19011,0.4215,5.283551967709385e-05
7420,2,0.35883,0.17018,0.3773,5.2815338042381435e-05
7440,2,0.21434,0.08221,0.26427,5.279515640766903e-05
7460,2,0.21849,0.09527,0.24645,5.277497477295661e-05
7480,2,0.34665,0.16503,0.36326,5.27547931382442e-05
7500,2,0.2207,0.07593,0.28954,5.2734611503531785e-05
7520,2,0.42038,0.2095,0.42177,5.271442986881938e-05
7540,2,0.27125,0.11289,0.31672,5.269424823410696e-05
7560,2,0.35349,0.13529,0.43639,5.2674066599394555e-05
7580,2,0.36251,0.20584,0.31335,5.265388496468214e-05
7600,2,0.2782,0.12922,0.29796,5.2633703329969734e-05
7620,2,0.29633,0.14214,0.30837,5.261352169525732e-05
7640,2,0.20643,0.08589,0.24108,5.2593340060544905e-05
7660,2,0.35,0.1652,0.36962,5.257315842583249e-05
7680,2,0.62687,0.41302,0.42769,5.255297679112008e-05
7700,2,0.39624,0.21256,0.36736,5.253279515640767e-05
7720,2,0.24383,0.09109,0.30548,5.251261352169526e-05
7740,2,0.26685,0.12781,0.27809,5.249243188698285e-05
7760,2,0.35077,0.17301,0.35553,5.247225025227044e-05
7780,2,0.26794,0.11545,0.30499,5.2452068617558025e-05
7800,2,0.24809,0.09422,0.30774,5.243188698284561e-05
7820,2,0.35712,0.19888,0.31649,5.2411705348133196e-05
7840,2,0.24153,0.07533,0.3324,5.239152371342079e-05
7860,2,0.25494,0.12341,0.26306,5.2371342078708374e-05
7880,2,0.2504,0.08347,0.33386,5.235116044399597e-05
7900,2,0.35388,0.17323,0.3613,5.233097880928355e-05
7920,2,0.21694,0.07769,0.27851,5.2310797174571145e-05
7940,2,0.17313,0.06842,0.20942,5.229061553985873e-05
7960,2,0.30144,0.12454,0.3538,5.227043390514632e-05
7980,3,0.21874,0.09511,0.24725,5.22502522704339e-05
8000,3,0.23347,0.08152,0.30389,5.2230070635721494e-05
8020,3,0.23702,0.11781,0.23841,5.220988900100908e-05
8040,3,0.22409,0.06277,0.32263,5.218970736629667e-05
8060,3,0.27718,0.09908,0.35619,5.216952573158426e-05
8080,3,0.42302,0.21189,0.42227,5.214934409687185e-05
8100,3,0.22496,0.09063,0.26867,5.2129162462159436e-05
8120,3,0.23081,0.08597,0.28967,5.210898082744703e-05
8140,3,0.41965,0.2323,0.3747,5.208879919273461e-05
8160,3,0.32037,0.14597,0.3488,5.20686175580222e-05
8180,3,0.36994,0.18436,0.37116,5.2048435923309786e-05
8200,3,0.39847,0.19731,0.40231,5.202825428859738e-05
8220,3,0.40767,0.22454,0.36626,5.2008072653884964e-05
8240,3,0.24633,0.09749,0.29767,5.1987891019172556e-05
8260,3,0.27299,0.11865,0.30868,5.196770938446014e-05
8280,3,0.30401,0.14252,0.32296,5.1947527749747734e-05
8300,3,0.26793,0.11546,0.30494,5.192734611503532e-05
8320,3,0.19512,0.07456,0.24112,5.1907164480322906e-05
8340,3,0.46202,0.24099,0.44208,5.188698284561049e-05
8360,3,0.43542,0.26296,0.34493,5.1866801210898084e-05
8380,3,0.30137,0.12459,0.35355,5.184661957618567e-05
8400,3,0.35577,0.18898,0.33357,5.182643794147326e-05
8420,3,0.31784,0.13389,0.3679,5.1806256306760854e-05
8440,3,0.24759,0.11737,0.26044,5.178607467204844e-05
8460,3,0.22776,0.0831,0.28933,5.1765893037336026e-05
8480,3,0.17833,0.06537,0.22593,5.174571140262361e-05
8500,3,0.24829,0.08465,0.32729,5.1725529767911204e-05
8520,3,0.21928,0.08583,0.26689,5.170534813319879e-05
8540,3,0.45549,0.22537,0.46025,5.1685166498486375e-05
8560,3,0.79693,0.57589,0.44209,5.166498486377397e-05
8580,3,0.20563,0.06102,0.28922,5.164480322906156e-05
8600,3,0.21696,0.08036,0.27321,5.1624621594349146e-05
8620,3,0.1833,0.07463,0.21735,5.160443995963673e-05
8640,3,0.18414,0.06315,0.24198,5.158425832492432e-05
8660,3,0.40253,0.20016,0.40474,5.156407669021191e-05
8680,3,0.27355,0.13478,0.27755,5.1543895055499495e-05
8700,3,0.22138,0.1127,0.21736,5.152371342078708e-05
8720,3,0.27907,0.13508,0.28798,5.1503531786074673e-05
8740,3,0.29579,0.15165,0.28827,5.1483350151362266e-05
8760,3,0.37741,0.19192,0.37097,5.146316851664985e-05
8780,3,0.29968,0.12623,0.3469,5.144298688193744e-05
8800,3,0.25952,0.0943,0.33045,5.142280524722503e-05
8820,3,0.43116,0.26911,0.32409,5.1402623612512615e-05
8840,3,0.24558,0.07927,0.33262,5.13824419778002e-05
8860,3,0.18526,0.0773,0.21591,5.136226034308779e-05
8880,3,0.34611,0.17037,0.35149,5.134207870837538e-05
8900,3,0.20055,0.08487,0.23135,5.132189707366297e-05
8920,3,0.25404,0.10446,0.29917,5.130171543895056e-05
8940,3,0.33833,0.17802,0.32062,5.128153380423814e-05
8960,3,0.40455,0.26358,0.28194,5.1261352169525735e-05
