step,epoch,loss,ce,dice,lr
20,1,3.31943,2.83005,0.97877,4.2000000000000004e-06
40,1,3.26814,2.77852,0.97922,8.2e-06
60,1,3.17246,2.68381,0.97731,1.22e-05
80,1,3.08401,2.59703,0.97397,1.62e-05
100,1,2.91926,2.43303,0.97245,2.02e-05
120,1,2.52205,2.04077,0.96255,2.42e-05
140,1,2.30475,1.82712,0.95527,2.8199999999999998e-05
160,1,2.13616,1.66239,0.94755,3.22e-05
180,1,1.85833,1.38915,0.93837,3.6200000000000006e-05
200,1,1.80741,1.34009,0.93463,4.02e-05
220,1,1.74481,1.2788,0.93204,4.4200000000000004e-05
240,1,1.49426,1.04481,0.8989,4.82e-05
260,1,1.35691,0.91353,0.88676,5.22e-05
280,1,1.16731,0.72909,0.87644,5.62e-05
300,1,1.23237,0.79396,0.87681,6e-05
320,1,0.94924,0.52994,0.8386,5.992325402916347e-05
340,1,0.93579,0.52093,0.82973,5.984650805832694e-05
360,1,0.96705,0.55446,0.82517,5.976976208749041e-05
380,1,0.86309,0.47179,0.7826,5.969301611665388e-05
400,1,0.78612,0.39428,0.78368,5.9616270145817344e-05
420,1,0.73464,0.3505,0.76828,5.953952417498081e-05
440,1,0.74768,0.37611,0.74314,5.946277820414429e-05
460,1,0.78568,0.41989,0.73159,5.938603223330775e-05
480,1,0.76951,0.40969,0.71965,5.9309286262471224e-05
500,1,0.70019,0.34046,0.71947,5.923254029163469e-05
520,1,0.65628,0.31361,0.68534,5.915579432079816e-05
540,1,0.551,0.20955,0.6829,5.907904834996163e-05
560,1,0.60658,0.28604,0.64108,5.90023023791251e-05
580,1,0.63811,0.3144,0.64742,5.8925556408288566e-05
600,1,0.67544,0.35483,0.64122,5.8848810437452035e-05
620,1,0.56934,0.26946,0.59976,5.87720644666155e-05
640,1,0.58989,0.27138,0.63702,5.869531849577898e-05
660,1,0.57897,0.26292,0.63208,5.861857252494244e-05
680,1,0.60065,0.30257,0.59616,5.854182655410591e-05
700,1,0.5874,0.26564,0.64351,5.8465080583269383e-05
720,1,0.68895,0.38181,0.61428,5.8388334612432845e-05
740,1,0.54191,0.24633,0.59115,5.831158864159632e-05
760,1,0.57902,0.28852,0.58099,5.823484267075979e-05
780,1,0.51026,0.25032,0.51988,5.815809669992325e-05
800,1,0.44368,0.18895,0.50947,5.8081350729086726e-05
820,1,0.50791,0.20888,0.59805,5.8004604758250194e-05
